Line1:	//line1	<	Note	,	-	>
Line32:	/* bug test */	<	Note	,	-	>
Line33:	int	<	INT	,	-	>
Lexical error at Line33:"1_bug" Error
Line33:	=	<	OP	,	=	>
Line33:	3	<	CONST	,	3	>
Line33:	;	<	SEMI	,	-	>
Line34:	float	<	FLOAT	,	-	>
Line34:	bug1	<	IDN	,	bug1	>
Line34:	=	<	OP	,	=	>
Lexical error at Line34:"1.1.1" Error
Line34:	;	<	SEMI	,	-	>
Line35:	float	<	FLOAT	,	-	>
Line35:	bug2	<	IDN	,	bug2	>
Line35:	=	<	OP	,	=	>
Lexical error at Line35:"2..2" Error
Line35:	;	<	SEMI	,	-	>
Line36:	float	<	FLOAT	,	-	>
Line36:	bug3	<	IDN	,	bug3	>
Line36:	=	<	OP	,	=	>
Lexical error at Line36:"." Unknown expression
Line36:	;	<	SEMI	,	-	>
Line37:	int	<	INT	,	-	>
Line37:	bug4	<	IDN	,	bug4	>
Line37:	=	<	OP	,	=	>
Lexical error at Line37:"0xag" Error
Line37:	;	<	SEMI	,	-	>
Line38:	int	<	INT	,	-	>
Line38:	bug5	<	IDN	,	bug5	>
Line38:	=	<	OP	,	=	>
Lexical error at Line38:"099" Error
Line38:	;	<	SEMI	,	-	>
Line39:	char	<	CHAR	,	-	>
Line39:	bug6	<	IDN	,	bug6	>
Line39:	=	<	OP	,	=	>
Lexical error at Line39:"'a" Char error
Line39:	;	<	SEMI	,	-	>
Line40:	String	<	STRING	,	-	>
Line40:	bug7	<	IDN	,	bug7	>
Line40:	=	<	OP	,	=	>
Lexical error at Line40:""bianyiyuanli;" String error
Lexical error at Line46:"/*bug8\r\n\r\n\r\n\r\n\r\n" Note error
