     	!    	!=    	&&    	(    	)    	*    	+    	,    	-    	.    	/    	;    	<    	<=    	=    	==    	>    	>=    	FLOAT  	ID    	INT   	[    	]    	else   	float  	if    	int   	num   	or    	return  	struct  	while  	{    	||    	}    	#    	AND   	ASSIGNOP 	Args   	COMMA  	CompSt  	DIV   	DOT   	Dec   	DecList 	Def   	DefList 	ELSE   	Exp   	ExtDecList	ExtDef  	ExtDefList	FunDec  	IF    	LB    	LC    	LP    	MINUS  	NOT   	OR    	OptTag  	PLUS   	ParamDec 	Program 	RB    	RC    	RELOP  	RETURN  	RP    	SEMI   	STAR   	STRUCT  	Specifier	Stmt   	StmtList 	StructSpecifier	TYPE   	Tag   	VarDec  	VarList 	WHILE  
10    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s254   	      	      	      	      	      	      	      	11    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	12    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
11    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r6    	      	r6    	      	      	      	r6    	      	      	      	      	r6    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
12    	r33   	      	      	r33   	      	      	      	      	r33   	      	      	      	      	      	      	      	      	      	r33   	r33   	r33   	      	      	      	s316   	r33   	s315   	      	      	r33   	s329   	r33   	r33   	      	r33   	      	      	      	      	      	      	      	      	      	      	255   	13    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	317   	257   	      	      	314   	313   	      	      	      	      	
13    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s202   	s195   	      	      	      	      	s252   	      	      	      	s251   	      	s253   	s254   	      	r25   	      	      	      	      	      	198   	      	      	      	      	      	      	      	19    	      	      	      	      	204   	      	246   	182   	186   	188   	      	      	      	      	      	      	      	      	199   	      	      	      	      	      	17    	14    	      	      	      	      	      	241   	
14    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s16   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	15    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
15    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r23   	      	r23   	      	      	      	r23   	      	      	      	      	r23   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
16    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r83   	      	r83   	      	      	      	r83   	      	      	      	      	r83   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
17    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s202   	s195   	      	      	      	      	s252   	      	      	      	s251   	      	s253   	s254   	      	r25   	      	      	      	      	      	198   	      	      	      	      	      	      	      	19    	      	      	      	      	204   	      	246   	182   	186   	188   	      	      	      	      	      	      	      	      	199   	      	      	      	      	      	17    	18    	      	      	      	      	      	241   	
18    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	r24   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
19    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	s197   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	20    	33    	      	      	      	      	      	      	      	      	      	      	
20    	r26   	      	      	r26   	      	      	      	      	r26   	      	      	      	      	      	      	      	      	      	r26   	r26   	r26   	      	      	      	      	r26   	      	      	      	r26   	      	r26   	r26   	      	r26   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
21    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s190   	s195   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	22    	      	      	      	      	      	      	      	182   	186   	188   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
22    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	r39   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	      	33    	      	      	      	      	      	      	      	      	      	      	
23    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s190   	s195   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	24    	      	      	      	      	      	      	      	182   	186   	188   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
24    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	r40   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	      	33    	      	      	      	      	      	      	      	      	      	      	
25    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s190   	s195   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	26    	      	      	      	      	      	      	      	182   	186   	188   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
26    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	r41   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	      	33    	      	      	      	      	      	      	      	      	      	      	
27    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s190   	s195   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	28    	      	      	      	      	      	      	      	182   	186   	188   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
28    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	r42   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	      	33    	      	      	      	      	      	      	      	      	      	      	
29    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s190   	s195   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	30    	      	      	      	      	      	      	      	182   	186   	188   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
30    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	r43   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	      	33    	      	      	      	      	      	      	      	      	      	      	
31    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s190   	s195   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	32    	      	      	      	      	      	      	      	182   	186   	188   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
32    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	r44   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	      	33    	      	      	      	      	      	      	      	      	      	      	
33    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s190   	s195   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	34    	      	      	      	      	      	      	      	182   	186   	188   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
34    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	r45   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	      	33    	      	      	      	      	      	      	      	      	      	      	
35    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s196   	s190   	s195   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	36    	      	      	      	      	      	      	      	182   	186   	188   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
36    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	r46   	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	      	      	      	      	      	      	s64   	      	      	      	      	      	      	      	23    	21    	      	      	      	35    	180   	      	      	      	      	      	      	      	      	      	      	      	37    	      	      	31    	      	25    	      	29    	      	      	      	      	27    	      	      	      	33    	      	      	      	      	      	      	      	      	      	      	
37    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s154   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	38    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
38    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	s179   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	39    	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
39    	      	r52   	r52   	      	      	r52   	r52   	      	r52   	r52   	r52   	r52   	r52   	r52   	r52   	r52   	r52   	r52   	      	      	      	r52   	      	      	      	      	      	      	r52   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
40    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s104   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	41    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
41    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	r39   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	      	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
42    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s104   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	43    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
43    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	r40   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	      	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
44    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s104   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	45    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
45    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	r41   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	      	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
46    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s104   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	47    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
47    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	r42   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	      	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
48    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s104   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	49    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
49    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	r43   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	      	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
50    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s104   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	51    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
51    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	r44   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	      	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
52    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s104   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	53    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
53    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	r45   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	      	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
54    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s104   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	55    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
55    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	r46   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	      	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
56    	s170   	      	      	s169   	      	      	      	      	s72   	      	      	      	      	      	      	      	      	      	s173   	s154   	s172   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	57    	      	      	      	      	      	      	      	77    	100   	102   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
57    	      	s70   	s63   	      	      	s73   	s71   	      	s72   	s76   	s74   	      	s66   	s68   	s62   	s69   	s65   	s67   	      	      	      	s75   	s61   	      	      	      	      	      	s64   	      	      	      	      	      	      	      	42    	40    	      	      	      	54    	59    	      	      	      	      	      	      	      	      	      	      	      	56    	      	      	50    	      	44    	      	48    	      	      	58    	      	46    	      	      	      	52    	      	      	      	      	      	      	      	      	      	      	
58    	      	r52   	r52   	      	      	r52   	r52   	      	r52   	r52   	r52   	      	r52   	r52   	r52   	r52   	r52   	r52   	      	      	      	r52   	r52   	      	      	      	      	      	r52   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
59    	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	s60   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
60    	      	r53   	r53   	      	      	r53   	r53   	      	r53   	r53   	r53   	      	r53   	r53   	r53   	r53   	r53   	r53   	      	      	      	r53   	r53   	      	      	      	      	      	r53   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
61    	      	r81   	r81   	      	      	r81   	r81   	      	r81   	r81   	r81   	      	r81   	r81   	r81   	r81   	r81   	r81   	      	      	      	r81   	r81   	      	      	      	      	      	r81   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
62    	r61   	      	      	r61   	      	      	      	      	r61   	      	      	      	      	      	      	      	      	      	r61   	r61   	r61   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
63    	r72   	      	      	r72   	      	      	      	      	r72   	      	      	      	      	      	      	      	      	      	r72   	r72   	r72   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
64    	r73   	      	      	r73   	      	      	      	      	r73   	      	      	      	      	      	      	      	      	      	r73   	r73   	r73   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
65    	r62   	      	      	r62   	      	      	      	      	r62   	      	      	      	      	      	      	      	      	      	r62   	r62   	r62   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
66    	r63   	      	      	r63   	      	      	      	      	r63   	      	      	      	      	      	      	      	      	      	r63   	r63   	r63   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
67    	r64   	      	      	r64   	      	      	      	      	r64   	      	      	      	      	      	      	      	      	      	r64   	r64   	r64   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
68    	r65   	      	      	r65   	      	      	      	      	r65   	      	      	      	      	      	      	      	      	      	r65   	r65   	r65   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
69    	r66   	      	      	r66   	      	      	      	      	r66   	      	      	      	      	      	      	      	      	      	r66   	r66   	r66   	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	      	
